PCON15CD,seat,hanrettyLeave,con_PC_2015,green_PC_2015,lab_PC_2015,ld_PC_2015,pc_PC_2015,snp_PC_2015,ukip_PC_2015,con_NUM_2015,green_NUM_2015,lab_NUM_2015,ld_NUM_2015,pc_NUM_2015,snp_NUM_2015,ukip_NUM_2015,electorate_2015,totalVotes_2015,ukip_candidate,electorate_2017,totalVotes_2017,con_NUM_2017,con_PC_2017,green_NUM_2017,green_PC_2017,lab_NUM_2017,lab_PC_2017,ld_NUM_2017,ld_PC_2017,other_NUM_2017,other_PC_2017,pc_NUM_2017,pc_PC_2017,snp_NUM_2017,snp_PC_2017,ukip_NUM_2017,ukip_PC_2017,turnout_PC_2015,turnout_PC_2017,hanrettyEstimate,age_students_18to24,age_18to24,age_65plus,cob_britain,cob_restOfEurope,cob_restOfWorld,demos_popDens,demos_nationalID,demos_nonWhiteUk,demos_noPassport,demos_religion_xian,demos_religion_muslim,demos_religion_atheist,age_students_18to24_num,age_studentsHome_num,age_studentsTerm_num,age_18to24_num,age_65plus_num,cob_britain_num,cob_restOfEurope_num,cob_restOfWorld_num,demos_popDens_num,demos_nationalID_num,demos_nonWhiteUk_num,demos_noPassport_num,demos_religion_xian_num,demos_religion_muslim_num,demos_religion_atheist_num,age_students_18to24_denom,age_studentsHome_denom,age_studentsTerm_denom,age_18to24_denom,age_65plus_denom,cob_britain_denom,cob_restOfEurope_denom,cob_restOfWorld_denom,demos_popDens_denom,demos_nationalID_denom,demos_nonWhiteUk_denom,demos_noPassport_denom,demos_religion_xian_denom,demos_religion_muslim_denom,demos_religion_atheist_denom,edu_degree_2015,edu_degree_over50,edu_noQuals_2015,edu_students_termTime,edu_students_homeTime,edu_degree_2015_num,edu_degree_over50_num,edu_noQuals_2015_num,edu_students_termTime_num,edu_students_homeTime_num,edu_degree_2015_denom,edu_degree_over50_denom,edu_noQuals_2015_denom,edu_students_termTime_denom,edu_students_homeTime_denom,econ_seg_AB,econ_seg_C1,econ_seg_C2,econ_seg_DE,econ_seg_ABC1,econ_seg_C2DE,econ_intermediate,econ_routineSemiRoutine,econ_routineSemiroutineNone,econ_seg_AB_num,econ_seg_C1_num,econ_seg_C2_num,econ_seg_DE_num,econ_seg_ABC1_num,econ_seg_C2DE_num,econ_intermediate_num,econ_routineSemiRoutine_num,econ_routineSemiroutineNone_num,econ_seg_AB_denom,econ_seg_C1_denom,econ_seg_C2_denom,econ_seg_DE_denom,econ_seg_ABC1_denom,econ_seg_C2DE_denom,econ_routineSemiRoutine_denom,econ_routineSemiroutineNone_denom,econ_intermediate_denom,econ_activityRate_2015,econ_employmentRate_2015,econ_unemploymentRate_2015,econ_unemploymentRateMen_2015,econ_activityRate_2015_num,econ_employmentRate_2015_num,econ_unemploymentRate_2015_num,econ_unemploymentRateMen_2015_num,econ_activityRate_2015_denom,econ_employmentRate_2015_denom,econ_unemploymentRate_2015_denom,econ_unemploymentRateMen_2015_denom,econ_managers_1_2015,econ_professional_2_2015,econ_tech_3_2015,econ_administrative_4_2015,econ_skilledTrades_5_2015,econ_careLeisure_6_2015,econ_sales_7_2015,econ_machines_8_2015,econ_routine_9_2015,econ_managers_1_2015_num,econ_professional_2_2015_num,econ_tech_3_2015_num,econ_administrative_4_2015_num,econ_skilledTrades_5_2015_num,econ_careLeisure_6_2015_num,econ_sales_7_2015_num,econ_machines_8_2015_num,econ_routine_9_2015_num,econ_managers_1_2015_denom,econ_professional_2_2015_denom,econ_tech_3_2015_denom,econ_administrative_4_2015_denom,econ_skilledTrades_5_2015_denom,econ_careLeisure_6_2015_denom,econ_sales_7_2015_denom,econ_machines_8_2015_denom,econ_routine_9_2015_denom,health_badHealth,health_activitiesLimitedALot,health_activiesLimitedAny,health_badHealth_num,health_activitiesLimitedALot_num,health_activiesLimitedAny_num,health_badHealth_denom,health_activitiesLimitedALot_denom,health_activiesLimitedAny_denom,econ_belowLivingWage,econ_medianHousePrice,econ_grossPayFTE
S14000056,Rutherglen & Hamilton West,37.339999999999996,7.55,NA,35.24,1.81,NA,52.55,2.26,4350,NA,20304,1045,NA,30279,1301,82830,57615,1,80098,50872,9941,19.54,NA,NA,19101,37.55,2158,4.24,371,0.73,NA,NA,18836,37.03,465,0.91,0.6955813111191598,0.6351219755799146,1,17.5,8.11,15.16,96.59,1.15,2.26000000000001,20.04,69.45,5.400000000000006,NA,NA,NA,NA,1400,NA,NA,8354,15611,99456,1186,2326,102968,79800,5500,NA,NA,NA,NA,8e3,102968,102968,102968,102968,102968,102968,102968,5138.78,95300,94900,102968,102968,102968,102968,34.5,12.1,9.1,62.16,NA,9500,1900,5600,4973,NA,50400,15700,61200,8e3,8e3,14.64,31.88,21.88,31.6,46.52,53.48,NA,NA,NA,5210,11342,7783,11244,16552,19027,NA,NA,NA,35579,35579,35579,35579,35579,35579,NA,NA,NA,80,74,7.5,11,49100,45400,3700,2800,61400,61400,49100,25600,8.2,14.9,13.6,15.7,10.6,7.1,8,8.6,12.88,3700,6800,6200,7200,4900,3300,3700,3900,5900,45800,45800,45800,45800,45800,45800,45800,45800,45800,7.63,11.75,21.59,7856,12101,22232,102968,102968,102968,19.8,117500,26956
E14000928,Skipton & Ripon,53.03,55.44,5.71,17.39,7.44,NA,NA,14.02,30248,3116,9487,4057,NA,NA,7651,76645,54559,0,78108,58138,36425,62.65,3734,6.42,16440,28.28,NA,NA,1539,2.65,NA,NA,NA,NA,NA,NA,0.7118403026942397,0.7443283658524095,1,46,6.49,21.7,94.66,2.09,3.26000000000001,0.47,65.8,8.099999999999994,16.7,69.2,0.6,22,2300,NA,NA,6444,21542,93964,2070,3232,99266,61200,7e3,16577,68692,596,21839,5e3,99266,99266,99266,99266,99266,99266,99266,209163.79,99200,99200,99266,99266,99266,99266,41.7,39.17,4.1,76.18,102.54,20200,9400,2500,3809,5127,49900,24e3,60200,5e3,5e3,26.82,29.42,24.98,18.78,56.24,43.76,12.21,21.9,21.91,7725,8474,7195,5411,16199,12606,8772,15736,15745.2,28805,28805,28805,28805,28805,28805,71851,71851,71851,77,76.5,NA,NA,46600,46300,NA,NA,60500,60500,46600,21700,20.2,22.7,11.7,7.2,11.7,4.6,8.1,3.2,10.76,10400,11600,6e3,3700,6e3,2300,4100,1600,5500,51100,51100,51100,51100,51100,51100,51100,51100,51100,4.18,7.22,16.82,4154,7165,16694,99266,99266,99266,25.2,218e3,24785
E14000557,Bexhill & Battle,57.68,54.77,5.08,14.12,7.6,NA,NA,18.42,30245,2807,7797,4199,NA,NA,10170,78796,55218,1,78512,59472,36854,61.97,1438,2.42,14689,24.7,4485,7.54,NA,NA,NA,NA,NA,NA,2006,3.37,0.7007716127722219,0.7574893009985735,1,29.41,6.02,26.91,94.44,1.74,3.81999999999999,1.91,70.1,12.400000000000006,16.7,64.6,0.5,25.6,1500,NA,NA,6066,27102,95126,1755,3846,100727,64700,8600,16821,65070,504,25786,5100,100727,100727,100727,100727,100727,100727,100727,52664.26,97500,97500,100727,100727,100727,100727,33.9,23.61,6.6,79.8,101.41,9800,5100,3500,4070,5172,43800,21600,53100,5100,5100,23.4,32.72,23.92,19.96,56.12,43.88,13.79,21.4,21.41,6333,8856,6475,5403,15189,11878,9641,14961,14968.7,27067,27067,27067,27067,27067,27067,69921,69921,69921,75.8,74.1,2.4,NA,40200,39300,900,NA,53100,53100,40200,21800,16.5,22.3,10.8,10.3,13.6,9.1,5.6,2.5,9.09,7100,9600,4600,4400,5800,3900,2400,1100,3900,42900,42900,42900,42900,42900,42900,42900,42900,42900,5.88,9.93,22.13,5925,9999,22287,100727,100727,100727,29.5,265e3,26400
E14000839,Dorset North,56.41,56.62,5.69,8.96,11.66,NA,NA,17.06,30227,3038,4785,6226,NA,NA,9109,73759,53385,0,76385,55724,36169,64.91,1607,2.88,10392,18.65,7556,13.56,NA,NA,NA,NA,NA,NA,NA,NA,0.7237760815629279,0.72951495712509,1,NA,6.95,21.73,94.29,2.5,3.20999999999999,1.09,67.3,6.200000000000003,18.2,66.8,0.3,23.7,NA,NA,NA,6656,20827,90361,2396,3074,95831,59700,6500,17441,64015,287,22712,6200,95831,95831,95831,95831,95831,95831,95831,88060.57,91800,91800,95831,95831,95831,95831,31.5,19.5,6.2,61.76,74.45,10700,3900,3200,3829,4616,42800,2e4,51500,6200,6200,24.95,29.49,25.97,19.6,54.44,45.56,12.88,23.87,23.89,6581,7779,6850,5169,14360,12019,8811,16332,16342.7,26379,26379,26379,26379,26379,26379,68416,68416,68416,83.8,80.9,3.5,5.1,43400,41900,1500,1200,51800,51800,43400,23500,11.4,19.2,13.1,7.6,15.6,9.9,4.1,7,11.65,5200,8700,6e3,3400,7100,4500,1900,3200,5300,45500,45500,45500,45500,45500,45500,45500,45500,45500,4.11,6.96,17.24,3936,6673,16517,95831,95831,95831,23.5,27e4,26946
S14000059,Dunbartonshire West,38.01,7.03,NA,31.34,1.6,NA,59.05,NA,3597,NA,16027,816,NA,30198,NA,69208,51141,0,67602,44083,7582,17.2,NA,NA,16602,37.66,1009,2.29,NA,NA,NA,NA,18890,42.85,NA,NA,0.7389463645821293,0.6520960918316027,0,28.92,9.11,16.44,97.46,0.87,1.67,5.71,72.03,4.299999999999997,NA,NA,NA,NA,2400,NA,NA,8264,14916,88413,793,1514,90720,73400,2700,NA,NA,NA,NA,8300,90720,90720,90720,90720,90720,90720,90720,15875.77,89e3,89e3,90720,90720,90720,90720,31.9,13.07,14.4,57.84,NA,7700,2600,8300,4801,NA,46100,19900,57500,8300,8300,10.15,31.85,23.55,34.45,42,58,NA,NA,NA,3206,10055,7435,10876,13261,18311,NA,NA,NA,31572,31572,31572,31572,31572,31572,NA,NA,NA,73.9,68.8,6.9,8.1,42600,39700,3e3,1700,57700,57700,42600,21400,4.5,13.8,14.9,8.8,10.4,13.2,12.5,8.1,13.12,1800,5600,6e3,3500,4200,5300,5e3,3300,5300,40400,40400,40400,40400,40400,40400,40400,40400,40400,7.9,12.31,23.07,7166,11172,20928,90720,90720,90720,16.3,88e3,27074
E14001004,Tunbridge Wells,44.7,58.69,5.17,14.21,8.44,NA,NA,12.6,30181,2659,7307,4342,NA,NA,6481,73429,51428,1,75138,54209,30856,56.92,1441,2.66,14391,26.55,5355,9.88,702,1.29,NA,NA,NA,NA,1464,2.7,0.700377235152324,0.7214591817722058,1,17.78,6.83,16.36,90.51,3.53,5.95999999999999,4.24,63.4,16.200000000000003,13,62.6,1.1,26.9,1600,NA,NA,7174,17190,95094,3712,6264,105070,63100,13300,13659,65774,1156,28264,9e3,105070,105070,105070,105070,105070,105070,105070,24806.94,107900,107900,105070,105070,105070,105070,43.5,28.57,9.5,54.9,71.14,19e3,4600,6300,4941,6403,53200,16100,66e3,9e3,9e3,32.73,31.48,18.25,17.53,64.21,35.79,13.28,19.66,19.67,10542,10138,5879,5647,20680,11526,9983,14784,14791.8,32206,32206,32206,32206,32206,32206,75193,75193,75193,76.5,73.5,4,NA,51200,49200,2e3,NA,67e3,67e3,51200,28200,12.5,18.5,21.6,11.9,4.7,7.9,11.1,5.8,6,6500,9600,11200,6200,2400,4100,5800,3e3,3100,51700,51700,51700,51700,51700,51700,51700,51700,51700,3.82,6.04,14.15,4010,6341,14866,105070,105070,105070,15.9,33e4,NA
E14000990,Tewkesbury,53.78,54.52,3.99,14.82,13.78,NA,NA,12.88,30176,2207,8204,7629,NA,NA,7128,78910,55344,1,81442,59084,35448,60,1576,2.67,12874,21.79,7981,13.51,NA,NA,NA,NA,NA,NA,1205,2.04,0.7013559751615764,0.7254733429925592,1,14.06,7.17,20.08,93.86,2.84,3.3,2.66,64.7,12.400000000000006,16.7,66.4,0.5,24.8,900,NA,NA,7040,19703,92112,2783,3239,98134,56600,13400,16388,65161,491,24337,6400,98134,98134,98134,98134,98134,98134,98134,36879.29,98900,98900,98134,98134,98134,98134,38.2,34.15,5.6,63.88,81.39,13900,7e3,3300,4088,5209,51100,20500,59400,6400,6400,26.16,33.55,21.32,18.98,59.71,40.29,15.55,23.08,23.09,7626,9781,6214,5532,17407,11746,11134,16529,16537.9,29153,29153,29153,29153,29153,29153,71622,71622,71622,85.4,80.7,5.4,8.5,50700,48e3,2700,2200,59400,59400,50700,25500,10,19.8,10.5,13.3,15.6,10,2.9,5.6,12.4,4900,9700,5200,6500,7700,4900,1400,2800,6100,49200,49200,49200,49200,49200,49200,49200,49200,49200,4.19,6.84,16.43,4113,6713,16122,98134,98134,98134,18.7,235e3,28426
E14000536,Ashford,59.68,52.45,4.3,18.44,5.98,NA,NA,18.82,30094,2467,10580,3433,NA,NA,10798,85177,57372,1,87396,59879,35318,58.98,1402,2.34,17840,29.79,3101,5.18,NA,NA,NA,NA,NA,NA,2218,3.7,0.6735621118377026,0.6851457732619342,1,25,7.82,16.75,91.08,2.9,6.02,2.24,67.3,13.200000000000003,16.6,62.7,0.9,26.4,2500,NA,NA,8827,18918,102861,3275,6804,112940,70600,14700,18748,70813,1016,29816,1e4,112940,112940,112940,112940,112940,112940,112940,50367.25,120700,120700,112940,112940,112940,112940,32.8,21.46,11,50.23,59.89,12600,4700,7900,5023,5989,59300,21900,72e3,1e4,1e4,21.86,30.97,23.62,23.55,52.83,47.17,13.34,25.16,25.18,7318,10367,7908,7882,17685,15790,10749,20272,20282.4,33475,33475,33475,33475,33475,33475,80561,80561,80561,80.1,75.6,5.6,5.1,57700,54400,3200,1600,72e3,72e3,57700,32e3,8.6,15.1,8.7,13.3,14.5,10.7,9.2,6.6,13.34,5e3,8700,5e3,7700,8400,6200,5300,3800,7700,57700,57700,57700,57700,57700,57700,57700,57700,57700,4.62,7.14,16.14,5218,8067,18224,112940,112940,112940,21,25e4,27875
S14000040,Kilmarnock & Loudoun,39.61,12.53,NA,30.35,1.46,NA,55.66,NA,6752,NA,16362,789,NA,3e4,NA,75250,53903,0,73327,46509,12404,26.67,NA,NA,13421,28.86,994,2.14,NA,NA,NA,NA,19690,42.34,NA,NA,0.7163189368770764,0.6342684140903078,1,23.91,8.66,17.14,97.76,0.79,1.45999999999999,1.38,70.04,5.400000000000006,NA,NA,NA,NA,2200,NA,NA,8383,16598,94638,762,1410,96810,77300,3400,NA,NA,NA,NA,9200,96810,96810,96810,96810,96810,96810,96810,70179.83,94400,94400,96810,96810,96810,96810,38.4,22.68,15.2,54.67,NA,12400,4400,8900,5030,NA,47300,19400,58600,9200,9200,13.95,28.57,25.76,31.73,42.52,57.48,NA,NA,NA,4364,8941,8060,9929,13305,17989,NA,NA,NA,31294,31294,31294,31294,31294,31294,NA,NA,NA,74.7,69,7.6,8.8,44100,40700,3300,2e3,59e3,59e3,44100,22800,7.7,19.9,13.5,9.3,12.2,13.4,8.9,5.6,8.13,3200,8300,5700,3900,5100,5600,3700,2400,3400,41800,41800,41800,41800,41800,41800,41800,41800,41800,6.23,10.51,21.04,6029,10171,20369,96810,96810,96810,25.2,94e3,29725
E14000907,Runnymede & Weybridge,49.8,59.74,4.14,15.52,6.72,NA,NA,13.89,29901,2071,7767,3362,NA,NA,6951,73771,50052,0,74887,51609,31436,60.91,1347,2.61,13386,25.94,3765,7.3,NA,NA,NA,NA,NA,NA,1675,3.25,0.6784779927071614,0.6891583318867093,1,46.43,10.69,16.7,83.09,4.95,11.96,10.9,56.8,22,9.4,63.7,2,23.6,5200,NA,NA,10939,17085,85015,5064,12232,102311,58300,21400,9617,65172,2046,24145,11200,102311,102311,102311,102311,102311,102311,102311,9382.84,107800,107800,102311,102311,102311,102311,39.3,24.38,8.2,81.93,62.72,19e3,4900,5700,9176,7025,55800,20100,69300,11200,11200,33.85,35.65,16.94,13.57,69.49,30.51,13.09,15.81,15.82,10398,10952,5204,4168,21350,9372,9843,11886,11892.3,30722,30722,30722,30722,30722,30722,75180,75180,75180,77.8,74.8,3.8,5.7,53900,51800,2100,1600,69300,69300,53900,28100,11.9,22.2,18.7,11.2,8.7,5.5,10.2,4.1,7.56,6400,12e3,10100,6100,4700,3e3,5500,2200,4100,54200,54200,54200,54200,54200,54200,54200,54200,54200,3.53,5.66,13.28,3607,5793,13583,102311,102311,102311,11.6,405e3,31546
E14000882,Poplar & Limehouse,34.190000000000005,25.39,4.83,58.55,4.21,NA,NA,6.13,12962,2463,29886,2149,NA,NA,3128,82081,51044,1,87274,58814,11846,20.14,989,1.68,39558,67.26,3959,6.73,1613,2.7399999999999998,NA,NA,NA,NA,849,1.44,0.6218735151862185,0.6739005889497445,1,33.33,12.98,5.48,55.66,9.26,35.08,121.22,24.6,75.7,6.7,29.1,33.6,17.2,5400,NA,NA,16711,7049,71661,11919,45165,128745,28500,114300,8626,37465,43258,22144,16200,128745,128745,128745,128745,128745,128745,128745,1062.06,156800,156300,128745,128745,128745,128745,49.5,13.97,9.8,77.21,69.15,45500,1900,11300,12508,11202,96700,13600,115300,16200,16200,36.57,28.37,9.48,25.58,64.94,35.06,9.39,15.27,15.28,17430,13521,4520,12190,30951,16710,9262,15067,15073.2,47661,47661,47661,47661,47661,47661,98650,98650,98650,80.7,74.3,7.9,6.6,93e3,85700,7400,3500,115300,115300,93e3,53100,9.7,27.6,18.5,9.8,6.2,11,5.6,3.9,7.91,8300,23700,15900,8400,5300,9400,4800,3300,6800,86e3,86e3,86e3,86e3,86e3,86e3,86e3,86e3,86e3,5.52,6.17,12.4,7101,7939,15964,128745,128745,128745,9.6,455e3,NA
E14000793,Liverpool Riverside,26.89,9.59,12.14,67.4,3.88,NA,NA,5.67,4245,5372,29835,1719,NA,NA,2510,70829,44263,0,76332,48020,4652,9.69,1582,3.29,40599,84.55,1187,2.47,NA,NA,NA,NA,NA,NA,NA,NA,0.6249276426322552,0.629093957973065,1,54.17,27.34,10.25,83.48,3.37,13.14,47.73,54.8,27.200000000000003,13.1,57.3,7.2,25.9,10400,NA,NA,31420,11784,95939,3878,15103,114920,44600,28900,15055,65849,8274,29764,19200,114920,114920,114920,114920,114920,114920,114920,2407.74,105900,105900,114920,114920,114920,114920,38.3,15.25,12.6,154.24,79.75,19200,2700,1e4,29614,15312,56900,17700,79100,19200,19200,21.95,39,10.68,28.37,60.95,39.05,8.46,18.41,18.42,9662,17164,4699,12485,26826,17184,8114,17658,17666.6,44010,44010,44010,44010,44010,44010,95914,95914,95914,60,57,5,7.5,47500,45100,2400,2e3,79100,79100,47500,27100,8.1,26.8,12.5,12.3,5.8,5.3,9.2,6.3,13.79,3700,12200,5700,5600,2600,2400,4200,2900,6300,45700,45700,45700,45700,45700,45700,45700,45700,45700,7.67,10.6,18.71,8813,12184,21507,114920,114920,114920,19.5,131500,26575
E14000829,Newark,55.75,57.04,3.43,21.72,4.56,NA,NA,12.03,29834,1792,11360,2385,NA,NA,6294,73747,52302,1,75526,55042,34493,62.67,NA,NA,16344,29.69,2786,5.06,NA,NA,NA,NA,NA,NA,1419,2.58,0.7092085101766852,0.7287821412493711,1,35.56,7.18,19.3,94.83,2.89,2.27,1.41,68.3,10.299999999999997,19.6,66.8,0.6,24.4,3200,NA,NA,7106,19096,93824,2864,2249,98937,60800,7100,19392,66090,594,24141,9e3,98937,98937,98937,98937,98937,98937,98937,70030.77,91200,91200,98937,98937,98937,98937,38.1,26.44,6.7,48.61,57.74,9200,4600,3400,4375,5197,39500,17400,50400,9e3,9e3,25.65,29.1,22.01,23.25,54.75,45.25,11.96,26.01,26.03,7505,8514,6439,6803,16019,13242,8715,18954,18965.6,29261,29261,29261,29261,29261,29261,72872,72872,72872,68.6,67.3,NA,NA,35200,34500,NA,NA,51300,51300,35200,17600,15.3,16.5,16.4,9.8,12.2,7.9,NA,5.3,12.95,5600,6e3,6e3,3500,4400,2900,NA,1900,4700,36300,36300,36300,36300,36300,36300,36300,36300,36300,4.87,8.12,18.36,4817,8031,18166,98937,98937,98937,26.7,185e3,25989
E14000818,Worcestershire Mid,58.94,56.99,3.7,14.45,7.18,NA,NA,17.68,29763,1933,7548,3750,NA,NA,9231,73069,52225,1,76065,55089,35967,65.29,1371,2.49,12641,22.95,3450,6.26,NA,NA,NA,NA,NA,NA,1660,3.01,0.7147353870998645,0.724235850916979,1,23.19,6.9,20.45,94.5,3.18,2.31999999999999,2.14,67.9,9.099999999999994,19.2,71.6,0.4,20.2,1600,NA,NA,6514,19315,89261,3e3,2193,94454,60700,8400,18135,67629,378,19080,6900,94454,94454,94454,94454,94454,94454,94454,44093.22,95600,95600,94454,94454,94454,94454,36.9,15.86,11.4,57.14,73.7,12400,3600,6800,3943,5085,48900,22700,59400,6900,6900,24.98,29.9,22.92,22.2,54.88,45.12,12.94,25.06,25.08,6808,8150,6246,6051,14958,12297,8935,17308,17318.9,27255,27255,27255,27255,27255,27255,69059,69059,69059,81,79.8,NA,NA,48100,47400,NA,NA,59400,59400,48100,24200,14.3,17.5,13.8,11,12.5,5.7,5.8,8.6,9.92,7200,8800,7e3,5500,6300,2900,2900,4300,5e3,50400,50400,50400,50400,50400,50400,50400,50400,50400,4.79,7.73,17.64,4522,7302,16659,94454,94454,94454,30.7,24e4,28303
E14000745,Hertsmere,50.839999999999996,59.28,NA,22.43,5.54,NA,NA,12.74,29696,NA,11235,2777,NA,NA,6383,73767,50091,1,73554,52253,31928,61.1,990,1.89,14977,28.66,2794,5.35,NA,NA,NA,NA,NA,NA,1564,2.99,0.6790434747244702,0.7104032411561574,0,62.28,7.96,16.32,84.51,4.59,10.9,9.89,58,29.5,9.3,51.7,2.4,19.2,7100,NA,NA,7963,16328,84537,4594,10900,100031,39500,23700,9303,51716,2401,19206,11400,100031,100031,100031,100031,100031,100031,100031,10115.54,101700,101700,100031,100031,100031,100031,33.4,11.68,8.1,54.3,61.68,15200,2300,5100,6190,7032,50600,19700,63400,11400,11400,28.83,35.12,18.25,17.8,63.95,36.05,14.91,17.91,17.92,8398,10231,5317,5186,18629,10503,10664,12810,12817.1,29132,29132,29132,29132,29132,29132,71511,71511,71511,77.1,72.4,6.1,7.3,48900,45900,3e3,1900,63400,63400,48900,26400,16.8,18.2,15.3,14.1,11.8,5.7,5.9,2.9,7.39,8200,8900,7400,6900,5800,2800,2900,1400,3600,48700,48700,48700,48700,48700,48700,48700,48700,48700,4.15,6.75,14.86,4153,6755,14869,100031,100031,100031,19,45e4,30360
E14000977,Stratford-On-Avon,51.17,57.67,4.14,12.98,12.01,NA,NA,13.21,29674,2128,6677,6182,NA,NA,6798,71304,51459,0,72609,52532,32657,62.17,1345,2.56,11699,22.27,6357,12.1,474,0.9099999999999999,NA,NA,NA,NA,NA,NA,0.7216846179737462,0.7234915781790137,1,36.84,6.27,22.81,93.95,2.85,3.2,1.32,65.8,10.099999999999994,15.9,70.4,0.3,20.9,2100,NA,NA,5551,20188,83135,2523,2832,88490,44900,8600,14070,62297,265,18494,5700,88490,88490,88490,88490,88490,88490,88490,67071.47,94300,94300,88490,88490,88490,88490,48.3,27.72,3.9,63.96,85.86,20800,5100,2200,3646,4894,48100,18400,56e3,5700,5700,32.19,30.59,19.8,17.42,62.78,37.22,12.56,20.48,20.5,8197,7789,5041,4435,15986,9476,8069,13162,13170.3,25462,25462,25462,25462,25462,25462,64254,64254,64254,84.4,82.7,2,NA,47200,46300,900,NA,56e3,56e3,47200,24e3,16.9,26.3,15.6,8.9,13,8.4,1.8,3.4,5.7,8300,12900,7600,4400,6400,4100,NA,1700,2800,49100,49100,49100,49100,49100,49100,49100,49100,49100,4.33,7.23,17.2,3830,6400,15221,88490,88490,88490,26.6,295e3,30558
E14000763,Islington North,21.610000000000003,17.19,10.24,60.24,8.09,NA,NA,4,8465,5043,29659,3984,NA,NA,1971,73326,49234,1,74831,54928,6871,12.51,2229,4.06,40086,72.98,4946,9,383,0.6900000000000001,NA,NA,NA,NA,413,0.75,0.6714398712598533,0.7340273416097607,1,42.42,10.45,8.59,68.47,9.1,22.43,140.19,34.5,50.5,7,39.3,10,30.6,4200,NA,NA,10809,8893,70846,9414,23209,103469,21500,58400,7243,40663,10347,31662,9900,103469,103469,103469,103469,103469,103469,103469,738.04,111800,111600,103469,103469,103469,103469,64.6,36.55,3.8,89.1,80.84,44200,5300,3100,8821,8003,71100,14500,82600,9900,9900,33.65,33.8,10.57,21.98,67.45,32.55,9.24,15.17,15.18,13505,13567,4243,8823,27072,13066,7566,12416,12422.6,40138,40138,40138,40138,40138,40138,81839,81839,81839,79.4,75.9,4.3,4.1,65900,63e3,2900,1500,83e3,83e3,65900,36300,11.6,33.7,23.5,6.7,4.1,4.9,5,2.5,5.74,7500,21700,15100,4300,2600,3200,3200,1600,3700,64500,64500,64500,64500,64500,64500,64500,64500,64500,6.49,8.13,15.84,6720,8416,16385,103469,103469,103469,21.6,541500,36500
E14000757,Huntingdon,53.27,53.02,3.89,18.33,7.82,NA,NA,16.94,29652,2178,10249,4375,NA,NA,9473,82593,55927,1,84320,59720,32915,55.12,1095,1.83,18440,30.88,5090,8.52,NA,NA,NA,NA,NA,NA,2180,3.65,0.6771397091763225,0.7082542694497154,1,NA,8.2,16.14,89.58,4.29,6.13,3.43,63.5,13.900000000000006,15.6,59.4,1.5,30.6,NA,NA,NA,9233,18180,100930,4833,6901,112664,78600,10300,17576,66922,1690,34475,7300,112664,112664,112664,112664,112664,112664,112664,32864.08,107400,107400,112664,112664,112664,112664,35.8,21.15,4.5,65.18,82.7,15800,4400,3e3,4758,6037,54900,20800,65600,7300,7300,26.84,32.26,20.49,20.41,59.1,40.9,14.34,24.45,24.47,9270,11145,7078,7051,20415,14129,11945,20367,20377.5,34544,34544,34544,34544,34544,34544,83285,83285,83285,87,84.3,3.1,NA,57e3,55300,1800,NA,65600,65600,57e3,29100,13.8,13.7,13.5,13.8,7.9,12.6,9.2,5.2,10.28,7900,7900,7700,7900,4500,7200,5300,3e3,5900,57400,57400,57400,57400,57400,57400,57400,57400,57400,3.91,6.17,14.75,4403,6946,16623,112664,112664,112664,23.9,241500,29248
E14000586,Bracknell,53.25,55.77,4.15,16.87,7.5,NA,NA,15.71,29606,2202,8956,3983,NA,NA,8339,81271,53086,1,79199,55892,32882,58.83,NA,NA,16866,30.18,4186,7.49,437,0.78,NA,NA,NA,NA,1521,2.72,0.6531973274599796,0.7057159812623897,1,29.27,7.9,13.2,88.18,3.51,8.3,14.18,61.2,18.099999999999994,12.3,60,1.1,29,2400,NA,NA,8280,13845,92461,3684,8704,104849,55100,19e3,12896,62909,1153,30406,8200,104849,104849,104849,104849,104849,104849,104849,7394.67,107400,107400,104849,104849,104849,104849,39.8,28.44,3.9,58.2,70.38,19800,6200,2700,4772,5771,58500,21800,69400,8200,8200,29.07,33.6,19.96,17.37,62.67,37.33,14.77,20.42,20.43,9598,11095,6592,5736,20693,12328,11379,15737,15745.1,33021,33021,33021,33021,33021,33021,77067,77067,77067,83.7,81.7,2.4,2.2,58200,56900,1400,700,69600,69600,58200,30300,10.5,22.4,18.2,12.6,9.5,8.3,6,3.7,8.66,6200,13200,10700,7400,5600,4900,3500,2200,5100,58900,58900,58900,58900,58900,58900,58900,58900,58900,3.39,5.46,12.77,3553,5728,13390,104849,104849,104849,12.1,325e3,32961
